id,title,description,genres,imdb_rating,views,ismovie,media_type_name,lang_id,language_name
17015,Cop vs. Killer,"When Sheriff Bill Abrams is attacked during a routine traffic stop, the would-be Killer leaves him for dead, using his gun, badge and vehicle to terrorize the residents of a small desert town.",Action,5.5,15424,1,Movie,1,English
17021,Busca Explosiva 4,"Jake Carter precisa proteger Olivia, uma denunciante que está determinada a expor um contratante corrupto de defesa militar, enquanto uma equipe de mercenários é contratada para matá-la.","Action, Thriller",5.2,75513,1,Movie,67,Português
17035,INTERCAMBIO DE PRINCESAS,"Una semana antes de Navidad, una duquesa cambia de lugar con una mujer común y corriente de Chicago, que se parece exactamente a ella, y ambas se enamoran del pretendiente de la otra.","Comedy, Romance",6.1,1464768,1,Movie,4,Español
17046,When Saturday Comes,"Jimmy (Sean Bean) aspires to be a pro soccer player, but as a heavy drinker with a go-nowhere job in a local brewery, his dream of making the team for Sheffield United seems an unlikely one. However, after starting a relationship with the pretty Annie (Emily Lloyd) and catching the eye of recruiter Ken (Pete Postlethwaite) during an amateur game, the future is suddenly looking brighter for Jimmy. Unfortunately, to make it into the big leagues, he'll first have to win his bout with the bottle.","Drama, Sport",6.0,55728,1,Movie,1,English
17052,Freshman Year,The journey of two young people going off to college from their sheltered homes and different backgrounds to face the real world of battling peer pressure and falling in love.,Drama,5.2,225982,1,Movie,1,English
17053,The Path,A young woman returns to her childhood home and discovers strange circumstances surrounding her parent's death and the town in which she grew up.,Thriller,7.0,119330,1,Movie,1,English
17064,Found A Homeless Billionaire Husband for Christmas,"Victoria Barren, cheated by her fiance, marries homeless Simon, unaware he's undercover to expose his uncle's crimes. As a billionaire heir, how will Simon reveal his true identity to the betrayed Victoria?",Romance,6.7,3154127,2,Short Drama,1,English
17069,La Nouvelle Locataire,"Lorsque le mari de Karen est hospitalisé, le couple décide de louer des chambres dans leur nouvelle maison pour rembourser leur prêt. Mais l'arrivée de Miranda, la locataire, bouleverse leur vie.","Mystery, Thriller",5.3,37978,1,Movie,10,Français
17070,L'amour En Trois Rendez-Vous,Three Dates to Forever : Maddie Mckenzie est une présentatrice travailleuse dont le dynamisme et le talent ont fait d'elle une animatrice radio populaire. John Reed est un entrepreneur technologique insouciant qui préfère organiser des fêtes. Ils sont totalement différents.,"Comedy, Romance",5.7,46171,1,Movie,10,Français
17072,Le café de L'amour,The Proposal Spot : La propriétaire d'un café où tout le monde tombe amoureux risque de tout perdre lorsqu'une célébrité lui demande en mariage et se fait larguer. Elle jure donc de le remettre ensemble avec sa future fiancée.,"Comedy, Romance",5.5,18942,1,Movie,10,Français
